movie,year,character,full_line
The Haunting,1999,Luke Sanderson,Wow.
Wedding Crashers,2005,John Beckwith,"Wow, getting a nice preview of what marriage is gonna be like with Ike Turner here."
Cars,2006,Lightning McQueen,Wow! Look at that shine!
No Escape,2015,Jack Dwyer,Wow.
Cars,2006,Lightning McQueen,Wow! What is this place?
The Big Bounce,2004,Jack Ryan,What is it about the produce section? Wow.
The Internship,2013,Nick Campbell,Wow!
Cars 3,2017,Lighting McQueen,"Oh, hey, Mr. Sterling. Wow."
Midnight in Paris,2011,Gil Pender,"Wow, what are you doing here?"
Hall Pass,2011,Rick Mills,Wow.
Midnight in Paris,2011,Gil Pender,Wow.
Midnight in Paris,2011,Gil Pender,Wow. That's... Th-Th-That's... That's... I'm going to be thinking about that one.
Meet the Parents,2000,Kevin Rawley,"Well, so was JC! Wow, you're in good company."
Cars,2006,Lightning McQueen,Wow! You're amazing!
Cars,2006,Lightning McQueen,Wow! You're amazing!
Free Birds,2013,Reggie,"Wow, I've never seen so many turkeys in one place actually doing things. I'm just shocked."
